mat_id,mo90,mo91,mo92
mat_name,prcost,prcap,prtrmt
mat_desc,pnr_lot_cost,pnr_lot_capacity,pnr_terminal_time
TAZ1700,pnr_lot_cost,pnr_lot_capacity,pnr_terminal_time
101,0,0,2
102,0,40,2
103,0,120,2
104,0,166,2
105,0,260,0
106,0,200,2
107,0,72,2
108,0,0,2
109,3,1471,8
110,3.75,0,2
111,6,774,0
112,2,478,4
113,0,175,2
114,3,636,2
115,0,0,2
116,3,0,3
117,1.5,382,3
118,3,150,2
119,3,435,5
120,3,254,0
121,0,100,2
122,0,196,2
123,0,30,2
124,0,154,2
125,0,0,2
126,2.5,1512,8
127,0,0,2
128,3.75,0,2
129,0,0,2
130,0,0,2
