Client:,TransLink,,,,,,,,,,,,,,
Project:,Arbutus to UBC Modelling Phase 2,,,,,,,,,,,,,,
Project #:,2121-00651-00,,,,,,,,,,,,,,
Model:,RTM3.4,,,,,,,,,,,,,,
Years:,"2017, 2035, 2050",,,,,,,,,,,,,,
Location:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Parent Scenario,Name,Year,AM,MD,PM,c/o Sc.,Zones,Land Use,Road Network,Transit Network,Notes,By:,Date,Databank,Reference (git SHA1 ID)
3500,2035 Base Network,2035,-,-,-,n/a,RTM 1700,2035,2035,2035,2035 Base Network from RTM3.4,-,-,,d241faebfd8ab3a8392086d5a532a38a5363b3f5
3601,2035 BAU: Business As Usual,2035,34011,34012,34013,3500,RTM 1700,2035,2035,2035,Includes 2017 base validation edits and adjustment to board penalty (7.5 mins) for rail to bus,KK,2020.10.30,UBCx_Ph2_2035BAU,c5d4b1657d1cf9e52c93ac2bcf33af0703c3e50f
3602,2035 BAU: Run 2,2035,34021,34022,34023,3601,RTM 1700,2035,2035,2035,,KK,2020.11.27,UBCx_Ph2_2035BAU,d0a270237d68d53d3d00c76445aa1ef2ac5e7fbf
3603,2035 BAU: Run 3,2035,36031,36032,36033,3602,RTM 1700,2035,2035,2035,,KK,2020.12.12,UBCx_Ph2_2035BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3612,2035 Alt 1A,2035,36121,36122,36123,3602,RTM 1700,2035,2035,2035,,KK,2020.12.01,UBCx_Ph2_2035Alt_1A,d0a270237d68d53d3d00c76445aa1ef2ac5e7fbf
3613,2035 Alt 1A,2035,36131,36132,36133,3612,RTM 1700,2035,2035,2035,,KK,2020.12.12,UBCx_Ph2_2035Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3623,2035 Alt 1B,2035,36231,36232,36233,3602,RTM 1700,2035,2035,2035,,KK,2020.12.13,UBCx_Ph2_2035Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3633,2035 Alt 1C,2035,36331,36332,36333,3602,RTM 1700,2035,2035,2035,,KK,2020.12.14,UBCx_Ph2_2035Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3643,2035 Alt 2A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1803,2017 BAU: Sc3603 + 2017 LU,2017,18031,18032,18033,3603,RTM 1700,2017,2035,2035,,KK,2020.12.12,UBCx_Ph2_2017BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1813,2017 Alt 1A: Sc3613 + 2017 LU,2017,18131,18132,18133,3613,RTM 1700,2017,2035,2035,,KK,2020.12.13,UBCx_Ph2_2017Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1823,2017 Alt 1B: Sc3623 + 2017 LU,2017,18231,18232,18233,3623,RTM 1700,2017,2035,2035,,KK,2020.12.13,UBCx_Ph2_2017Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1833,2017 Alt 1C: Sc3633 + 2017 LU,2017,18331,18332,18333,3633,RTM 1700,2017,2035,2035,,KK,2020.12.14,UBCx_Ph2_2017Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1843,2017 Alt 2A: Sc3643 + 2017 LU,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5103,2050 BAU,2050,51031,51032,51033,5000,RTM 1700,2050,2050,2050,,KK,2020.12.12,UBCx_Ph2_2050BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5113,2050 Alt 1A,2050,51131,51132,51133,5000,RTM 1700,2050,2050,2050,,KK,2020.12.12,UBCx_Ph2_2050Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5123,2050 Alt 1B,2050,51231,51232,51233,5000,RTM 1700,2050,2050,2050,,KK,2020.12.13,UBCx_Ph2_2050Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5133,2050 Alt 1C,2050,51331,51332,51333,5000,RTM 1700,2050,2050,2050,,KK,2020.12.13,UBCx_Ph2_2050Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5143,2050 Alt 2A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3301,2035 BAU: Without R4,2035,33011,33012,33013,3601,RTM 1700,2035,2035,2035,Headways for R4 set to 0,KK,2020.11.03,R2U_Phase2_2035BAU_ExcR4,3043146231d6a8c568c912689d86c728efbdf78b
